ptIndex,usDs,navDel,total
5.12876081467,2.3653678894,2.30591917038,9.80005097389
3.47466516495,2.60742688179,2.04449391365,8.12658905983
3.11402416229,2.7447309494,2.05902600288,7.91778516769
3.74941110611,2.61413908005,2.35730218887,8.72085618973
3.45510601997,2.60976696014,2.00002193451,8.06489801407
4.49370408058,2.71822214127,3.17758512497,10.3895142078
5.58344197273,3.83446383476,3.64836883545,13.0662789345
6.116492033,3.57659602165,2.39607214928,12.089163065
6.40347099304,3.72572183609,2.1747879982,12.3039889336
4.17425704002,2.77524590492,2.68424892426,9.63375496864
6.04258990288,3.4139881134,2.42684316635,11.8834249973
5.77841305733,3.39971208572,2.36750721931,11.5456361771
4.41885209084,3.97892189026,2.36902093887,10.7667980194
4.55530500412,3.03832602501,2.27588200569,9.86951780319
3.77694606781,3.58639407158,2.20251202583,9.56585597992
4.4122030735,2.78500795364,2.44771289825,9.64492797852
6.10808300972,3.64418387413,2.95182919502,12.7040991783
4.06961607933,3.48231101036,4.20082712173,11.7527580261
3.74562811852,2.93678212166,2.58144211769,9.26385521889
4.64699792862,3.38235998154,2.79324197769,10.8226029873
4.56903982162,3.29662585258,2.03361582756,9.89928483963
5.6138920784,3.34484505653,2.88912200928,11.8478629589
4.36414694786,3.50323009491,1.97041296959,9.83779382706
4.2397069931,3.28428316116,2.42602396011,9.95001792908
